,Rank,Name,in 2021 ranking,in 2020 ranking,Country,Sector,Absolute Growth Rate %,Compound Annual Growth Rate (CAGR) %,Revenue 2020 (€),Revenue 2017 (€),Number of employees 2020,Number of employees 2017,Founding Year
0,1.0,Swappie,No,No,Finland,Technology,19152.82,477.43,97611814.0,507000.0,218.0,1,2016.0
1,2.0,Kilo Health,No,No,Lithuania,Health,16541.73,450.05,57318766.0,344428.0,177.0,10,2013.0
2,3.0,OCI,No,No,UK,Financial Services,13133.13,409.59,568322073.0,4325512.0,32.0,4,2012.0
3,4.0,OnlyFans,No,No,UK,Technology,11928.05,393.63,316732986.0,2652185.0,800.0,4,2016.0
4,5.0,Enpal,No,No,Germany,Energy,11441.27,386.88,56109613.0,486165.0,365.0,9,2017.0
5,6.0,MR Consulting,No,No,Germany,Waste management & recycling,8624.23,343.52,13165586.0,150908.0,9.0,2,2017.0
6,7.0,Thriva,No,No,UK,Health,7396.77,321.66,18732563.0,251668.0,57.0,12,2015.0
7,8.0,Exotec,No,No,France,Industrial Goods,6635.11,306.86,47597000.0,706700.0,200.0,15,2015.0
8,9.0,Winelivery,No,No,Italy,Ecommerce,6480.53,303.73,7337290.0,111500.0,10.0,1,2015.0
9,10.0,Instabox,No,No,Sweden,Technology,6287.13,299.73,24484879.0,392055.0,117.0,5,2015.0
10,11.0,Waterdrop,No,No,Austria,Food & Beverage,5957.94,292.74,41205930.0,680197.0,180.0,12,2016.0
11,12.0,One Lease,No,No,France,Support Services,5790.52,289.09,9015211.0,153046.0,11.0,2,2016.0
12,13.0,Datlas*,No,No,Italy,Technology,5713.76,287.39,9034926.0,155406.0,251.0,13,2017.0
13,14.0,Zego,No,No,UK,Fintech,5242.6,276.63,12158046.0,229201.0,224.0,36,2016.0
14,15.0,HCL-Logistics,No,No,Germany,Transport,4682.15,262.97,11387156.0,238118.0,24.0,5,2017.0
15,16.0,Popsa,No,No,UK,Technology,4649.68,262.15,21455864.0,454975.0,34.0,4,2016.0
16,17.0,Unit8,No,No,Switzerland,Technology,4377.53,255.1,7234981.0,149397.0,41.0,2,2017.0
17,18.0,Luoto Company,No,No,Finland,Technology,4303.97,253.14,14338668.0,325585.0,49.0,6,2016.0
18,19.0,Journi Print,No,No,Austria,Ecommerce,4165.75,249.41,6851839.0,160624.0,29.0,9,2014.0
19,20.0,Portify,No,No,France,Support Services,4118.6,248.11,11583215.0,274575.0,228.0,23,2017.0
20,21.0,Tibber,No,No,Norway,Energy,4104.02,247.71,30886935.0,782918.0,45.0,8,2015.0
21,22.0,Rascal Industry,No,No,Poland,Fashion,4029.49,245.65,9008822.0,238451.0,18.0,6,2013.0
22,23.0,Pegaso Security,No,No,Italy,Support Services,3943.64,243.23,8375180.0,207120.0,509.0,20,2017.0
23,24.0,Tide,No,No,UK,Fintech,3801.56,239.17,16136633.0,416562.0,581.0,72,2016.0
24,25.0,Euro Top Brand,No,No,Italy,Retail,3726.04,236.96,13888900.0,363010.0,1.0,1,2017.0
25,26.0,Bold Security Group,No,No,UK,Support Services,3356.6,225.75,6238378.0,181772.0,26.0,6,2011.0
26,27.0,Play Magnus Group,No,No,Norway,Games industry,2967.63,213.04,6461790.0,214673.0,140.0,10,2013.0
27,28.0,Blue Whale Growth Fund,No,No,UK,Financial Services,2957.41,212.69,5189391.0,170950.0,7.0,1,2016.0
28,29.0,Kazidomi,No,No,Belgium,Ecommerce,2950.29,212.45,8042499.0,263663.0,65.0,3,2016.0
29,30.0,Sun Finance,Yes,No,Latvia,Fintech,2899.26,210.7,121306296.0,4044537.0,800.0,90,2012.0
30,31.0,Credimi,No,No,Italy,Financial Services,2859.83,209.33,11301520.0,381830.0,56.0,21,2015.0
31,32.0,SIRPLUS,No,No,Germany,Retail,2828.22,208.23,4540000.0,155043.0,133.0,8,2017.0
32,33.0,AIHR | Academy to Innovate HR,No,No,The Netherlands,Education,2752.08,205.53,3584553.0,125682.0,31.0,6,2016.0
33,34.0,Logistics Capital Partners (LCP),No,No,Luxembourg,Property,2744.13,205.25,210563743.0,7403458.0,27.0,9,2015.0
34,35.0,Südwest Invest,No,No,Germany,Property,2660.84,202.24,5820402.0,210820.0,10.0,2,2017.0
35,36.0,CORADE (Plurimmo),No,No,France,Property,2646.07,201.7,56018731.0,2039961.0,7.0,7,2000.0
36,37.0,Carranco,No,No,Spain,Food & Beverage,2589.1,199.6,4176440.0,155310.0,5.0,4,2006.0
37,38.0,Telemedi,No,No,Poland,Health,2572.52,198.98,4452513.0,182100.0,50.0,10,2014.0
38,39.0,Inkitt,No,No,Germany,Technology,2480.16,195.49,5926970.0,229713.0,56.0,22,2014.0
39,40.0,H.K.Trading,No,No,Italy,Retail,2438.64,193.9,5721590.0,225380.0,2.0,1,2016.0
40,41.0,Attest,No,No,UK,Technology,2424.14,193.34,4864178.0,194090.0,124.0,16,2015.0
41,42.0,LGM IMMOBILIER,No,No,France,Property,2416.78,193.05,2549778.0,101311.0,11.0,na,2016.0
42,43.0,Wolfram Chain*,No,No,The Netherlands,Management Consulting,2314.21,189.02,2431371.0,100711.0,29.0,7,2017.0
43,44.0,RightNow,No,No,Germany,Technology,2256.98,186.72,8951132.0,379771.0,38.0,3,2017.0
44,45.0,EO Charging,Yes,No,UK,Technology,2182.0,183.64,17158962.0,757323.0,63.0,7,2014.0
45,46.0,CheTariffa.it,No,No,Italy,Support Services,2164.85,182.93,2495860.0,110200.0,9.0,2,2013.0
46,47.0,Simply,No,No,UK,Financial Services,2131.19,181.52,16483836.0,744092.0,90.0,26,2017.0
47,48.0,Salary Finance,No,No,UK,Fintech,2130.67,181.5,8593220.0,387995.0,187.0,24,2015.0
48,49.0,DBT,No,No,Sweden,Fintech,2090.34,179.79,3837994.0,179204.0,10.0,2,2017.0
49,50.0,Tutlo,No,No,Poland,Education,2087.98,179.69,7778203.0,388565.0,140.0,15,2016.0
50,51.0,Ponera,No,No,France,Ecommerce,2082.38,179.45,25901607.0,1186853.0,27.0,4,2013.0
51,52.0,Active Energy Solutions,No,No,Greece,Energy,1979.82,175.01,13312033.0,640056.0,2.0,0,2014.0
52,53.0,ACTEAM ENR,No,No,France,Energy,1966.73,174.43,2133691.0,103240.0,8.0,2,2012.0
53,54.0,Everflow,Yes,No,UK,Technology,1928.53,172.73,64223085.0,3188715.0,70.0,8,2015.0
54,55.0,Azure Prism,No,No,UK,Retail,1909.48,171.87,4752777.0,238216.0,1.0,1,2016.0
55,56.0,WR Logistics,No,No,Germany,Transport,1892.58,171.11,11662200.0,585280.0,7.0,2,2017.0
56,57.0,iProov,No,No,UK,Technology,1889.07,170.95,7435887.0,376519.0,61.0,14,2011.0
57,58.0,Spin Up,No,No,Italy,Advertising,1865.84,169.89,4009330.0,203950.0,5.0,1,2017.0
58,59.0,BeGreat,No,No,Germany,Retail,1803.65,167.01,5141555.0,270090.0,16.0,4,2012.0
59,60.0,Tsunami Nutrition*,No,No,Italy,Ecommerce,1782.11,166.0,6945000.0,369000.0,17.0,2,2017.0
60,61.0,Matt Sleeps,No,No,The Netherlands,Interiors,1729.53,163.5,9789240.0,535070.0,6.0,2,2016.0
61,62.0,Tessian,No,No,UK,Technology,1702.7,162.21,15365580.0,858482.0,138.0,28,2013.0
62,63.0,Solarisbank,No,No,Germany,Financial Services,1690.63,161.62,35938000.0,2007000.0,369.0,98,2016.0
63,64.0,M2DG (MyFlexoffice),No,No,France,Support Services,1666.64,160.45,6630617.0,375323.0,21.0,2,2016.0
64,65.0,Eukon,No,No,Italy,Health,1664.65,160.35,6393680.0,362320.0,11.0,2,2004.0
